장비ID,장비명/국사명,사업장,98,key,업무명,운용팀,장비명/국사명.1,장비ID.1,국사,본부,자산현행화(세부항목),MOSS(BS)발행,자산점검 완료(MOSS 미발행)
218.157.252.15,#201동 8층 1라인 EPS 실#-V2716G,경상북도 상주시 낙양동 111-0,1,1경상북도 상주시 낙양동 111-0,다산 노후 V27xxG 장비 교체,구미,#201동 8층 1라인 EPS 실#-V2716G,218.157.252.15,상주국사,대구,,,
14.45.151.2,1#중계용DC 죽장국사 #1-V2716G,경상북도 포항시 죽장면 입암리 317-3,1,1경상북도 포항시 죽장면 입암리 317-3,다산 노후 V27xxG 장비 교체,포항,1#중계용DC 죽장국사 #1-V2716G,14.45.151.2,북포항국사,대구,,,
222.121.224.14,-1#1:2RN_교육훈련단#1-V2716G,경상북도 포항시 오천읍 세계리 209-13,1,1경상북도 포항시 오천읍 세계리 209-13,다산 노후 V27xxG 장비 교체,포항,-1#1:2RN_교육훈련단#1-V2716G,222.121.224.14,오천국사,대구,,,
222.103.222.51,OFF#(수시)해병1사단7여단_한진중공업#1-V2724G,경상북도 포항시 오천읍 용덕리 1-0,1,1경상북도 포항시 오천읍 용덕리 1-0,다산 노후 V27xxG 장비 교체,포항,OFF#(수시)해병1사단7여단_한진중공업#1-V2724G,222.103.222.51,오천국사,대구,,,
220.122.85.25,2#현대건설E동#1-V2724G,경상북도 울진군 북면 고목리 1-0,1,1경상북도 울진군 북면 고목리 1-0,다산 노후 V27xxG 장비 교체,포항,2#현대건설E동#1-V2724G,220.122.85.25,울진국사,대구,,,
220.81.162.2,1#늘봄모텔(구 래미안)#02-V2724G,경상북도 울진군 죽변면 봉평리 187-0,1,1경상북도 울진군 죽변면 봉평리 187-0,다산 노후 V27xxG 장비 교체,포항,1#늘봄모텔(구 래미안)#02-V2724G,220.81.162.2,울진국사,대구,,,
220.94.48.61,1#신천1공장#1-V2724G,경상북도 포항시 오천읍 문덕리 1355-10,1,1경상북도 포항시 오천읍 문덕리 1355-10,다산 노후 V27xxG 장비 교체,포항,1#신천1공장#1-V2724G,220.94.48.61,포항국사,대구,,,
118.41.101.194,4#KT신청사4층#1-V2724G,경상북도 포항시 남구 대도동 135-19,1,1경상북도 포항시 남구 대도동 135-19,다산 노후 V27xxG 장비 교체,포항,4#KT신청사4층#1-V2724G,118.41.101.194,포항국사,대구,,,
203.232.54.132,1#푸드코트롯데리아옆EPS실_WIFI#1-V2724G,대구광역시 수성구 대흥동 504-0,1,1대구광역시 수성구 대흥동 504-0,다산 노후 V27xxG 장비 교체,동대구,1#푸드코트롯데리아옆EPS실_WIFI#1-V2724G,203.232.54.132,고산국사,대구,,,
112.165.68.38,02#산격시청본관2층통신실#01-V2724G,대구광역시 북구 산격동 1445-3,1,1대구광역시 북구 산격동 1445-3,다산 노후 V27xxG 장비 교체,서대구,02#산격시청본관2층통신실#01-V2724G,112.165.68.38,동대구국사,대구,,,
222.104.173.125,3F#중동병원3층2#-V2724G,대구광역시 수성구 중동 30-4,1,1대구광역시 수성구 중동 30-4,다산 노후 V27xxG 장비 교체,남대구,3F#중동병원3층2#-V2724G,222.104.173.125,상동국사,대구,,,
222.104.173.130,4F#중동병원4층1#-V2724G,대구광역시 수성구 중동 30-4,2,2대구광역시 수성구 중동 30-4,다산 노후 V27xxG 장비 교체,남대구,4F#중동병원4층1#-V2724G,222.104.173.130,상동국사,대구,,,
222.104.173.124,3F#중동병원3층1#-V2724G,대구광역시 수성구 중동 30-4,3,3대구광역시 수성구 중동 30-4,다산 노후 V27xxG 장비 교체,남대구,3F#중동병원3층1#-V2724G,222.104.173.124,상동국사,대구,,,
183.106.22.20,1#오미부대신건물BOQE02633#1-V2716G,경상북도 영천시 오미동 108-0,1,1경상북도 영천시 오미동 108-0,다산 노후 V27xxG 장비 교체,동대구,1#오미부대신건물BOQE02633#1-V2716G,183.106.22.20,영천국사,대구,,,
118.41.58.34,#지방법원서부지원#-V2724G,대구광역시 달서구 용산동 230-0,1,1대구광역시 달서구 용산동 230-0,다산 노후 V27xxG 장비 교체,남대구,#지방법원서부지원#-V2724G,118.41.58.34,서대구국사,대구,,,
210.105.185.87,1#퀸즈랜드#1-V2724G,대구광역시 달서구 용산동 230-22,1,1대구광역시 달서구 용산동 230-22,다산 노후 V27xxG 장비 교체,남대구,1#퀸즈랜드#1-V2724G,210.105.185.87,달서국사,대구,,,
210.105.185.88,11#퀸즈랜드메디칼#1-V2724G,대구광역시 달서구 용산동 230-22,2,2대구광역시 달서구 용산동 230-22,다산 노후 V27xxG 장비 교체,남대구,11#퀸즈랜드메디칼#1-V2724G,210.105.185.88,달서국사,대구,,,
222.103.146.25,1#DGIST통신실 원장관사용#1-V2724G,대구광역시 달성군 현풍읍 상리 953-0,1,1대구광역시 달성군 현풍읍 상리 953-0,다산 노후 V27xxG 장비 교체,남대구,1#DGIST통신실 원장관사용#1-V2724G,222.103.146.25,달성국사,대구,,,
59.23.206.22,10#분홍빛병원#2-V2724G,대구광역시 중구 삼덕동2가 45-0,1,1대구광역시 중구 삼덕동2가 45-0,다산 노후 V27xxG 장비 교체,서대구,10#분홍빛병원#2-V2724G,59.23.206.22,대구국사,대구,,,
