장비ID,장비명/국사명,사업장,순서,key,업무명,운용팀,장비명/국사명,장비ID,국사,본부,자산현행화(세부항목),MOSS(BS)발행,자산점검 완료(MOSS 미발행),
112.165.148.169,철거대상#쉬리파크#0611-E5624R,충청북도청주시흥덕구가경동1454-5,1,1충청북도청주시흥덕구가경동1454-5,L2 자산철거(현장확인 대상),제주,철거대상#쉬리파크#0611-E5624R,112.165.148.169,제주국사,호남,,,,충청북도청주시흥덕구가경동1454-5
222.116.238.71,철거대상#성화동856 스위트빌#1014-V2708GC,충청북도청주시서원구성화동856-0,1,1충청북도청주시서원구성화동856-0,L2 자산철거(현장확인 대상),제주,철거대상#성화동856 스위트빌#1014-V2708GC,222.116.238.71,애월국사,호남,,,,충청북도청주시서원구성화동856-0스위트빌
112.165.157.54,OFF#우양노인전문요양원2B동_2F_TPS실3#-E5616R,충청북도청주시청원구주성동317-8,1,1충청북도청주시청원구주성동317-8,L2 자산철거(현장확인 대상),제주,OFF#우양노인전문요양원2B동_2F_TPS실3#-E5616R,112.165.157.54,신제주국사,호남,,,,충청북도청주시청원구주성동317-8
112.165.157.55,OFF#우양노인전문요양원2B동_2F_TPS실4#-E5616R,충청북도청주시청원구주성동317-8,2,2충청북도청주시청원구주성동317-8,L2 자산철거(현장확인 대상),제주,OFF#우양노인전문요양원2B동_2F_TPS실4#-E5616R,112.165.157.55,신제주국사,호남,,,,충청북도청주시청원구주성동317-8
61.85.225.87,EV#하늘빌2#11-V2708GC,충청북도청주시오창읍구룡리409-1,1,1충청북도청주시오창읍구룡리409-1,L2 자산철거(현장확인 대상),제주,EV#하늘빌2#11-V2708GC,61.85.225.87,신제주국사,호남,,,,충청북도청주시오창읍구룡리409-17하늘빌2(1층TV함)F617J084
121.188.57.37,철거대상#호수병원 지하1층 방재실#-E5624R,충청북도청주시오창읍양청리787-6,1,1충청북도청주시오창읍양청리787-6,L2 자산철거(현장확인 대상),제주,철거대상#호수병원 지하1층 방재실#-E5624R,121.188.57.37,신제주국사,호남,,,,충청북도청주시오창읍양청리787-6
121.188.57.38,철거대상#호수병원 지하1층 방재실#-E5624R,충청북도청주시오창읍양청리787-6,2,2충청북도청주시오창읍양청리787-6,L2 자산철거(현장확인 대상),제주,철거대상#호수병원 지하1층 방재실#-E5624R,121.188.57.38,신제주국사,호남,,,,충청북도청주시오창읍양청리787-6
211.51.51.153,철거대상#704동1층 TPS실 모뎀랙#-V2708GC,충청북도청주시내수읍원통리64-1,1,1충청북도청주시내수읍원통리64-1,L2 자산철거(현장확인 대상),제주,철거대상#704동1층 TPS실 모뎀랙#-V2708GC,211.51.51.153,신제주국사,호남,,,,충청북도청주시내수읍원통리64-1
222.116.226.67,철거대상#오창구룡397-13#1-V2716GC,충청북도청주시오창읍구룡리397-1,1,1충청북도청주시오창읍구룡리397-1,L2 자산철거(현장확인 대상),제주,철거대상#오창구룡397-13#1-V2716GC,222.116.226.67,신제주국사,호남,,,,충청북도청주시오창읍구룡리397-13
121.155.203.124,철거검토#성화동486더존오피스텔 NT#-E5616R,충청북도청주시서원구성화동486-0,1,1충청북도청주시서원구성화동486-0,L2 자산철거(현장확인 대상),제주,철거검토#성화동486더존오피스텔 NT#-E5616R,121.155.203.124,신제주국사,호남,,,,충청북도청주시서원구성화동486-0
